Name,LineNum,Line
"aalensis, Astarte Oppel, 1856",1,"aalensis, Astarte Oppcl, 1856 [in 1856-1858]:4O4"
"aalensis, Cucullaea oblonga Quenstedt, 1856",2,"aalensis, Cucullaea oblonga Quenstedt, 1856 [in 1856-1858]:359, plate 48: figure 22"
"aalensis, Isocardia Quenstedt, 1856",3,"aalensis, Isocardia Quenstedt, 1856 [in 1856-1858]:36O, plate 49: figures 1, 2"
"aalensis, Nucula hammeri Quenstedt, 1856",4,"aalensis, Nucula hammeri'Quenstedt, 1856 [in 1856-1858]:359, plate 48: figure 15"
"aalensis, Plagiostoma Quenstedt, 1856",5,"aalensis, Plagiostoma Quenstedt, 1856 [in 1856-1858]:354, plate 48: figure 10"
"aballoensis, Leda J. Martin, 1858",6,"aballoensis, Leda J. Martin, 1858:389, plate 2: figure 7"
"aballoensis, Pecten Cotteau, 1855",7,"aballoensis, Pecten Cotteau, 1855 [in 1853-1857]: 108"
"abavia, Tellina Mayer, 1861",8,"abavia, Tellina Mayer, 1861 [in 1861-1870], 9:60, plate 3: figure 1"
"abavus, Trochus Mayer, 1870",9,"abavus, Trochus Mayer, 1870b, Descr. coq. foss., p. 2 [Quoted from Mayer, 1870 [in 1861-1870], 18:327, plate 11: figure 3.]"
"abax, Helix Marie, 1870",10,"abax, Helix Marie, 1870a: 139, 1870c:420, plate 13: figure 6"
"abbevillensis, Goniobasis Lea, 1862",11,"abbevillensis, Goniobasis Lea, 1862d:268; 1863e:323, plate 38: figure 174"
"abbevillensis, Unio Lea, 1857",12,"abbevillensis, Unio Lea, 1857c:84; 1858h:51, plate 6: figure 34"
"abbotti, Gyrodes Gabb, 1861",13,"abbotti, GyrodesGabb, 1861b:320"
"abbotti, Volutilithes Gabb, 1860",14,"abbotti, Volutilithes Gabb, 1860a:94, plate 2: figure 7"
"abbottiana, Wilkinsonaea Chitty, 1857",15,"abbottiana, Wilkinsonaea Chitty, 1857b: 172"
"abbottii, Architectonica Gabb, 1861",16,"abbottii, Architectonica Gabb, 1861b:321"
"abbreviata, Achatina costellata F. Edwards, 1852",17,"abbreviata, Achatina costellata F. Edwards, 1852 [in 1852-1877], 2: 75, plate 12: figures 1 i-k"
"abbreviata, Cyrena Deshayes, 1857",18,"abbreviata, Cyrena Deshayes, 1857 [in 1856-1865], atlas 1, plate 38: figures 13, 14; 1858 [in 1856-1865], 1:491"
"abbreviata, Limnaea caudata F. Edwards, 1852",19,"abbreviata, Limnaea caudata F. Edwards, 1852 [in 1852-1877], 2: 84, plate 12: figure 2 c"
"abbreviata, Melania Anthony, in Gould, 1851",20,"abbreviata, Melania Anthony, in Gould, 1851r:36O; Reeve, 1861 [in 1851-1870], 12(Melania): plate 54: species 424"
"abbreviata, Melania Terquem, 1855",21,"abbreviata, Melania Terquem, 1855b:255, plate 14: figure 12"
"abbreviata, Michelia Fried. Roemer, 1852",22,"abbreviata, Michelia Fried. Roemer, 1852 [in 1850-1852]:74, plate 11: figure 19"
"abbreviata, Mya truncata Jeffreys, 1865",23,"abbreviata, Mya truncata Jeffreys, 1865 [in 1862-1869], 3:66"
"abbreviata, Mysia Gould, 1861",24,"abbreviata, Mysia Gould, 1861b:32"
"abbreviata, Paludina Reeve, 1863",25,"abbreviata, Paludina Reeve, 1863 [in 1851-1870], 14(Paludina): plate 5: species 26"
"abbreviata, Partula Mousson, 1869",26,"abbreviata, Partula Mousson, 1869c:339, plate 14: figure 7"
