Name,Reconcile,OrigName,Phylum,LineNum,DatasetIDs,Line
"Astarte aalensis Oppel, 1856",,"aalensis, Astarte Oppel, 1856",Mollusca,2,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aalensis, Astarte Oppcl, 1856 [in 1856-1858]:4O4"
"Cucullaea oblonga aalensis Quenstedt, 1856",,"aalensis, Cucullaea oblonga Quenstedt, 1856",Mollusca,3,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aalensis, Cucullaea oblonga Quenstedt, 1856 [in 1856-1858]:359, plate 48: figure 22"
"Isocardia aalensis Quenstedt, 1856",,"aalensis, Isocardia Quenstedt, 1856",Mollusca,4,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aalensis, Isocardia Quenstedt, 1856 [in 1856-1858]:36O, plate 49: figures 1, 2"
"Nucula hammeri aalensis Quenstedt, 1856",,"aalensis, Nucula hammeri Quenstedt, 1856",Mollusca,5,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aalensis, Nucula hammeri'Quenstedt, 1856 [in 1856-1858]:359, plate 48: figure 15"
"Plagiostoma aalensis Quenstedt, 1856",,"aalensis, Plagiostoma Quenstedt, 1856",Mollusca,6,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aalensis, Plagiostoma Quenstedt, 1856 [in 1856-1858]:354, plate 48: figure 10"
"Leda aballoensis J. Martin, 1858",,"aballoensis, Leda J. Martin, 1858",Mollusca,7,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aballoensis, Leda J. Martin, 1858:389, plate 2: figure 7"
"Pecten aballoensis Cotteau, 1855",,"aballoensis, Pecten Cotteau, 1855",Mollusca,8,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aballoensis, Pecten Cotteau, 1855 [in 1853-1857]: 108"
"Tellina abavia Mayer, 1861",,"abavia, Tellina Mayer, 1861",Mollusca,9,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abavia, Tellina Mayer, 1861 [in 1861-1870], 9:60, plate 3: figure 1"
"Trochus abavus Mayer, 1870",,"abavus, Trochus Mayer, 1870",Mollusca,10,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abavus, Trochus Mayer, 1870b, Descr. coq. foss., p. 2 [Quoted from Mayer, 1870 [in 1861-1870], 18:327, plate 11: figure 3.]"
"Helix abax Marie, 1870","Helix abax Marie, 1870","abax, Helix Marie, 1870",Mollusca,11,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abax, Helix Marie, 1870a: 139, 1870c:420, plate 13: figure 6"
"Goniobasis abbevillensis Lea, 1862","Goniobasis abbevillensis I. Lea, 1862","abbevillensis, Goniobasis Lea, 1862",Mollusca,12,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbevillensis, Goniobasis Lea, 1862d:268; 1863e:323, plate 38: figure 174"
"Unio abbevillensis Lea, 1857","Unio abbevillensis I. Lea, 1857","abbevillensis, Unio Lea, 1857",Mollusca,13,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbevillensis, Unio Lea, 1857c:84; 1858h:51, plate 6: figure 34"
"Gyrodes abbotti Gabb, 1861",,"abbotti, Gyrodes Gabb, 1861",Mollusca,14,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbotti, GyrodesGabb, 1861b:320"
"Volutilithes abbotti Gabb, 1860",,"abbotti, Volutilithes Gabb, 1860",Mollusca,15,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbotti, Volutilithes Gabb, 1860a:94, plate 2: figure 7"
"Wilkinsonaea abbottiana Chitty, 1857","Wilkinsonaea abbottiana Chitty, 1857","abbottiana, Wilkinsonaea Chitty, 1857",Mollusca,16,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbottiana, Wilkinsonaea Chitty, 1857b: 172"
"Architectonica abbottii Gabb, 1861",,"abbottii, Architectonica Gabb, 1861",Mollusca,17,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbottii, Architectonica Gabb, 1861b:321"
"Achatina costellata abbreviata F. Edwards, 1852","Achatina costellata var. abbreviata F. E. Edwards, 1852","abbreviata, Achatina costellata F. Edwards, 1852",Mollusca,18,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Achatina costellata F. Edwards, 1852 [in 1852-1877], 2: 75, plate 12: figures 1 i-k"
"Cyrena abbreviata Deshayes, 1857","Cyrena abbreviata Deshayes, 1857","abbreviata, Cyrena Deshayes, 1857",Mollusca,19,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Cyrena Deshayes, 1857 [in 1856-1865], atlas 1, plate 38: figures 13, 14; 1858 [in 1856-1865], 1:491"
"Limnaea caudata abbreviata F. Edwards, 1852",,"abbreviata, Limnaea caudata F. Edwards, 1852",Mollusca,20,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Limnaea caudata F. Edwards, 1852 [in 1852-1877], 2: 84, plate 12: figure 2 c"
"Melania abbreviata Anthony, in Gould, 1851","Melania abbreviata Gould, 1851","abbreviata, Melania Anthony, in Gould, 1851",Mollusca,21,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Melania Anthony, in Gould, 1851r:36O; Reeve, 1861 [in 1851-1870], 12(Melania): plate 54: species 424"
"Melania abbreviata Terquem, 1855",Melania abbreviata Terquem 1855,"abbreviata, Melania Terquem, 1855",Mollusca,22,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Melania Terquem, 1855b:255, plate 14: figure 12"
"Michelia abbreviata Fried. Roemer, 1852",,"abbreviata, Michelia Fried. Roemer, 1852",Mollusca,23,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abbreviata, Michelia Fried. Roemer, 1852 [in 1850-1852]:74, plate 11: figure 19"
