Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Unio requienii abreviatus Joannis, 1859",Unio requienii abreviatus,"Unio requienii abbreviatus de Joannis, 1859",Unio requienii abbreviatus,true,"abreviatus, Unio requienii Joannis, 1859",Mollusca,84,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abreviatus, Unio requienii Joannis, 1859b, 3:290, plate 11: figure 7"
"Chemnitzia aciculatis A. Adams, 1853",Chemnitzia aciculatis,"Chemnitzia acicularis A. Adams, 1855",Chemnitzia acicularis,true,"aciculatis, Chemnitzia A. Adams, 1853",Mollusca,176,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aciculatis, Chemnitzia A. Adams, 1853f:182"
"Buccinum actonis Philippi, 1868",Buccinum actonis,"Buccinum actoni Philippi, 1868",Buccinum actoni,true,"actonis, Buccinum Philippi, 1868",Mollusca,212,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","actonis, Buccinum Philippi, 1868, 15:223"
"Nerinaea acuminata C. Moore, 1867",Nerinaea acuminata,"Nerinea acuminata Moore, 1867",Nerinea acuminata,true,"acuminata, Nerinaea C. Moore, 1867",Mollusca,248,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acuminata, Nerinaea C. Moore, 1867, 23:546, plate 14: figure 22"
"Nassa pagodus acuta P. Carpenter, 1857",Nassa pagodus acuta,"Nassa pagoda var. acuta Carpenter, 1857",Nassa pagoda acuta,true,"acuta, Nassa pagodus P. Carpenter, 1857",Mollusca,293,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acuta, Nassa pagodus P. Carpenter, 1857 [in 1855-1857]:496"
"Pecten acutauritus Schafhäutl, 1851",Pecten acutauritus,"Pecten acuteauritus Schafhäutl, 1851",Pecten acuteauritus,true,"acutauritus, Pecten Schafhäutl, 1851",Mollusca,327,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acutauritus, Pecten Schafhäutl, 1851c:417, 419, plate 7: figure 10"
"Obeliscus adamsi P. Carpenter, 1864",Obeliscus adamsi,"Obeliscus adamsii P. P. Carpenter, 1864",Obeliscus adamsii,true,"adamsi, Obeliscus P. Carpenter, 1864",Mollusca,403,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsi, Obeliscus P. Carpenter, 1864c:547"
"Venus adamsii Reeve, 1863",Venus adamsii,"Venus adamsi Reeve, 1863",Venus adamsi,true,"adamsii, Venus Reeve, 1863",Mollusca,411,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsii, Venus Reeve, 1863 [in 1851-1870], 14(Venus): plate 17: species 77"
"Spiraxis adamsiana Pfeiffer, 1852",Spiraxis adamsiana,"Spiraxis adamsianus L. Pfeiffer, 1852",Spiraxis adamsianus,true,"adamsiana, Spiraxis Pfeiffer, 1852",Mollusca,424,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsiana, Spiraxis Pfeiffer, 1852i, 9:178"
"Bulimus adenensis Pfeiffer, 1851",Bulimus adenensis,Bulimus (Pachnodus) adonensis Godwin-Austen 1881,Bulimus adonensis,true,"adenensis, Bulimus Pfeiffer, 1851",Mollusca,453,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adenensis, Bulimus Pfeiffer, 1851b, 8:27; 1853 [in 1840-1865], 1(13,): 78, plate 21: figures 12, 13"
"Sphaenia aequilateralis Deshayes, 1857",Sphaenia aequilateralis,"Sphenia aequilateralis Deshayes, 1857",Sphenia aequilateralis,true,"aequilateralis, Sphaenia Deshayes, 1857",Mollusca,547,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aequilateralis, Sphaenia Deshayes, 1857 [in 1856-1865], 1:196, plate 11 bis: figures 4-7"
"Helix aethiops Bielz, 1851",Helix aethiops,"Helix aethyops M. Bielz, 1851",Helix aethyops,true,"aethiops, Helix Bielz, 1851",Mollusca,580,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aethiops, Helix Bielz, 1851, 2:55"
"Cyclostoma agassizii Charpentier, in Pfeiffer, 1854",Cyclostoma agassizii,Cyclostoma agassizi Charp.,Cyclostoma agassizi,true,"agassizii, Cyclostoma Charpentier, in Pfeiffer, 1854",Mollusca,668,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","agassizii, Cyclostoma Charpentier, in Pfeiffer, 1854 [in 1843-1854], l(19):280, plate 38: figures 1, 2; as Chondropoma, Reeve, 1863 [in 1851-1870], 14(Condropoma): plate 9: species 64"
"Venus agassizii Orbigny, 1852",Venus agassizii,Venus agassizi d'Orbigny,Venus agassizi,true,"agassizii, Venus Orbigny, 1852",Mollusca,674,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","agassizii, Venus Orbigny, 1852 [in 1850-1852], 3:181"
